u,e,k,min,threshold,value,Topic Recall,Class Entropy,Cluster Entropy,Total Entropy,Mean_Newsworthiness,NumberOfEvents
1,2,10,2,3,2,0.5436,0.9692,1.0983,1.0337,52.95,1224
1,2,10,2,7,5,0.5385,1.2103,0.8533,1.0318,52.05,1236
1,2,10,3,15,10,0.4825,1.2807,0.9289,1.1048,51.48,1133
1,2,10,4,3,4,0.5614,0.8625,1.0947,0.9786,53.67,1241
1,2,10,4,6,1,0.5454,0.9715,1.0985,1.0350,50.82,1244
1,2,10,5,5,2,0.5615,0.8244,1.1761,1.0002,53.80,1249
1,2,10,6,3,4,0.5488,1.2141,0.8584,1.0363,55.72,1241
1,2,10,8,4,4,0.5392,0.9541,1.0669,1.0105,52.24,1234
1,2,10,8,10,1,0.5304,1.1989,0.8550,1.0269,51.52,1211
1,2,15,1,4,1,0.4550,1.2607,0.9548,1.1077,46.08,1104
1,2,15,2,3,3,0.4521,1.2361,1.0768,1.1564,46.83,1113
1,2,15,2,7,1,0.4494,1.2579,1.0391,1.1485,47.61,1114
1,2,15,3,6,5,0.4660,0.9573,1.2832,1.1203,48.85,1126
1,2,15,3,10,1,0.4568,1.2736,0.9739,1.1237,48.43,1108
1,2,15,5,6,2,0.4595,1.1072,1.1423,1.1248,47.33,1129
1,2,15,5,15,1,0.4146,1.2174,1.0941,1.1557,43.51,1064
1,2,15,8,3,10,0.4373,1.2531,1.0913,1.1722,46.63,1091
1,2,15,8,15,4,0.4217,1.3328,1.0126,1.1727,44.38,1060
1,2,20,1,4,2,0.3387,1.2302,1.2505,1.2404,40.52,974
1,2,20,1,4,10,0.3327,1.1499,1.4031,1.2765,42.66,961
1,2,20,1,10,10,0.3379,1.1819,1.3137,1.2478,42.19,955
1,2,20,2,5,3,0.3649,1.2980,1.1276,1.2128,43.93,982
1,2,20,2,7,4,0.3703,1.0883,1.3324,1.2104,42.04,983
1,2,20,2,15,2,0.3140,1.3889,1.1510,1.2699,39.20,940
1,2,20,2,15,5,0.3362,1.1652,1.3786,1.2719,40.97,941
1,2,20,4,5,1,0.3581,1.4284,1.0458,1.2371,42.31,985
1,2,20,5,5,4,0.3530,1.4513,1.0760,1.2637,41.48,990
1,2,20,5,10,3,0.3603,1.3502,1.1769,1.2636,41.06,981
1,2,20,5,10,5,0.3658,1.2750,1.1689,1.2220,41.63,981
1,2,20,5,15,5,0.3404,1.2965,1.1915,1.2440,38.72,947
1,2,20,6,7,10,0.3645,1.2324,1.2673,1.2499,41.61,973
1,2,20,8,3,4,0.3465,1.2480,1.2268,1.2374,43.45,978
1,2,20,8,6,5,0.3568,1.4243,1.0840,1.2542,41.54,983
1,2,20,8,7,5,0.3631,1.1436,1.3253,1.2344,40.78,982
1,2,20,8,15,10,0.3313,1.1459,1.3630,1.2544,41.66,928
1,3,3,1,10,3,0.5575,1.1393,0.8683,1.0038,52.96,1229
1,3,3,1,15,2,0.4928,1.2516,0.8853,1.0684,48.57,1158
1,3,3,2,3,2,0.5566,1.0268,0.9325,0.9797,51.91,1247
1,3,3,2,7,1,0.5491,0.9972,1.0623,1.0297,51.22,1252
1,3,3,3,3,5,0.5553,1.0823,0.9063,0.9943,52.73,1259
1,3,3,3,6,4,0.5684,0.8785,1.1250,1.0017,54.78,1273
1,3,3,3,15,3,0.4904,1.0922,1.0525,1.0723,48.79,1176
1,3,4,1,5,4,0.5839,0.8141,1.1120,0.9631,54.55,1260
1,3,4,1,10,4,0.5512,0.8812,1.1529,1.0170,53.92,1241
1,3,4,1,10,5,0.5465,0.8393,1.2085,1.0239,53.82,1240
1,3,4,1,15,1,0.4909,1.0729,1.0575,1.0652,47.64,1162
1,3,4,2,10,10,0.5303,1.2354,0.8507,1.0430,51.15,1218
1,3,4,3,7,3,0.5711,1.1348,0.8016,0.9682,54.17,1283
1,3,4,4,4,4,0.5962,0.9522,0.9087,0.9305,56.34,1286
1,3,4,4,15,1,0.4941,1.2214,0.9931,1.1072,48.38,1183
1,3,5,2,4,1,0.5790,0.8056,1.1809,0.9933,55.54,1267
1,3,5,4,3,1,0.5852,0.8830,1.0453,0.9642,55.54,1276
1,3,5,4,4,5,0.5851,0.9261,0.9731,0.9496,53.67,1293
1,3,5,4,10,5,0.5693,0.8016,1.1943,0.9979,57.10,1275
1,3,5,4,15,10,0.5090,1.0200,1.1514,1.0857,52.30,1167
1,3,5,5,4,10,0.5538,0.9740,1.0312,1.0026,53.87,1255
1,3,5,5,7,4,0.5929,1.0768,0.7845,0.9306,58.02,1301
1,3,6,1,7,2,0.5796,0.8695,1.0612,0.9653,57.73,1266
1,3,6,1,15,2,0.4926,0.9223,1.2377,1.0800,51.13,1173
1,3,6,2,3,3,0.5709,0.8897,1.0349,0.9623,55.53,1272
1,3,6,2,7,5,0.5884,0.9902,0.9482,0.9692,56.86,1283
1,3,6,3,3,4,0.5750,0.8499,1.0933,0.9716,56.71,1283
1,3,6,3,7,10,0.5439,0.9478,1.1186,1.0332,52.49,1254
1,3,6,3,10,10,0.5474,1.0317,1.0082,1.0200,54.47,1235
1,3,6,4,3,3,0.5917,0.8378,1.0445,0.9412,56.55,1288
1,3,6,4,3,4,0.5847,0.9778,0.9768,0.9773,57.72,1289
1,3,6,4,4,4,0.5899,1.1180,0.7618,0.9399,57.55,1297
1,3,6,4,6,1,0.5941,0.7828,1.1305,0.9567,55.43,1292
1,3,6,6,6,1,0.5921,1.0680,0.8625,0.9652,54.70,1292
1,3,6,6,15,1,0.5073,1.0233,1.0737,1.0485,53.14,1191
1,3,10,1,10,3,0.5395,0.8981,1.1290,1.0136,53.79,1214
1,3,10,2,5,1,0.5527,0.9257,1.0720,0.9989,55.53,1236
1,3,10,4,4,10,0.5514,0.9247,1.1409,1.0328,55.25,1220
1,3,10,4,6,10,0.5317,1.2325,0.8775,1.0550,53.78,1224
1,3,10,5,3,2,0.5495,1.0619,1.0097,1.0358,55.61,1247
1,3,10,5,3,3,0.5579,0.8328,1.1696,1.0012,52.27,1250
1,3,10,5,10,2,0.5501,1.0558,0.9916,1.0237,54.32,1238
1,3,10,6,6,4,0.5730,0.7876,1.1365,0.9621,54.37,1261
1,3,10,6,10,4,0.5515,1.0259,1.0303,1.0281,55.43,1240
1,3,10,8,10,3,0.5368,1.1551,0.8521,1.0036,53.70,1225
1,3,15,1,4,10,0.4399,1.3464,0.9650,1.1557,46.40,1092
1,3,15,1,15,1,0.4124,1.3413,0.9945,1.1679,43.11,1053
1,3,15,2,3,1,0.4527,1.2475,0.9745,1.1110,49.61,1113
1,3,15,2,7,5,0.4671,1.0203,1.2456,1.1330,49.12,1125
1,3,15,2,10,10,0.4285,1.1061,1.1759,1.1410,43.52,1090
1,3,15,3,6,3,0.4748,1.1904,1.0500,1.1202,50.37,1131
1,3,15,4,7,1,0.4831,0.8938,1.2562,1.0750,48.80,1129
1,3,15,4,7,4,0.4581,0.9944,1.2486,1.1215,48.03,1135
1,3,15,4,15,10,0.4110,1.3237,1.0842,1.2039,43.13,1052
1,3,15,5,15,2,0.4200,1.0365,1.3085,1.1725,46.89,1071
1,3,15,6,3,1,0.4487,1.0923,1.1468,1.1196,46.20,1122
1,3,15,6,15,10,0.4064,1.0847,1.3056,1.1951,45.58,1052
1,3,15,8,4,4,0.4686,1.0967,1.0988,1.0977,50.45,1123
1,3,15,8,6,4,0.4655,0.9992,1.2017,1.1005,48.29,1126
1,3,15,8,6,5,0.4596,1.1515,1.1353,1.1434,47.98,1125
1,3,20,1,15,3,0.3245,1.4044,1.1830,1.2937,40.57,939
1,3,20,3,7,3,0.3574,1.3101,1.1928,1.2514,41.45,989
1,3,20,3,7,10,0.3569,1.1731,1.2961,1.2346,41.75,974
1,3,20,3,15,2,0.3228,1.1164,1.4929,1.3046,37.44,946
1,3,20,4,4,1,0.3564,1.3249,1.1479,1.2364,39.32,986
1,3,20,5,5,2,0.3680,1.0710,1.3571,1.2140,43.14,991
1,3,20,5,7,1,0.3719,1.2536,1.1740,1.2138,41.85,989
1,3,20,6,10,1,0.3619,1.4085,1.0716,1.2401,43.47,980
1,5,3,1,5,10,0.5258,1.1263,0.9281,1.0272,49.77,1219
1,5,3,1,7,1,0.5725,0.8881,1.1127,1.0004,54.00,1245
1,5,3,1,10,10,0.5300,1.2167,0.9030,1.0599,50.81,1202
1,5,3,1,15,2,0.4995,0.9986,1.1874,1.0930,51.33,1162
1,5,3,2,4,5,0.5821,0.9433,0.9754,0.9594,55.66,1263
1,5,3,2,4,10,0.5381,1.0358,1.0282,1.0320,52.69,1227
1,5,3,2,5,1,0.5628,1.0254,0.9163,0.9708,56.25,1258
1,5,3,2,15,3,0.4908,1.0756,1.1255,1.1006,49.57,1174
1,5,4,1,4,3,0.5522,1.1990,0.8557,1.0273,55.15,1262
1,5,4,2,3,5,0.5844,0.8292,1.0497,0.9394,54.96,1268
1,5,4,2,6,1,0.5669,1.0574,0.8751,0.9662,52.21,1272
1,5,4,2,6,5,0.5906,0.8244,1.0510,0.9377,55.88,1281
1,5,4,2,15,1,0.4943,1.1702,1.0199,1.0951,52.14,1177
1,5,4,2,15,10,0.4852,1.0087,1.1499,1.0793,51.18,1156
1,5,4,3,6,5,0.5918,0.8091,1.1418,0.9754,54.25,1292
1,5,4,3,15,1,0.5087,0.9564,1.1520,1.0542,49.96,1184
1,5,4,4,5,5,0.5981,0.8556,0.9926,0.9241,55.54,1297
1,5,4,4,6,5,0.5849,0.9075,1.0170,0.9622,55.79,1298
1,5,4,4,7,3,0.5957,0.9161,0.9675,0.9418,58.27,1297
1,5,5,1,7,1,0.5700,0.9177,1.0724,0.9950,52.95,1264
1,5,5,1,15,5,0.5144,1.2195,0.8687,1.0441,48.94,1179
1,5,5,1,15,10,0.4768,0.9483,1.2251,1.0867,50.18,1152
1,5,5,3,5,3,0.6022,0.8983,0.9729,0.9356,57.64,1299
1,5,5,3,5,10,0.5652,1.0224,0.9467,0.9846,54.02,1258
1,5,5,3,6,10,0.5748,0.9774,1.0248,1.0011,54.34,1259
1,5,5,4,3,2,0.5923,0.8310,1.0731,0.9521,55.07,1289
1,5,5,4,6,5,0.5996,0.8091,1.1146,0.9618,54.18,1307
1,5,5,5,5,4,0.6043,1.0910,0.8060,0.9485,58.44,1309
1,5,5,5,10,5,0.5800,1.1375,0.8504,0.9940,53.24,1284
1,5,5,5,15,1,0.5147,1.1001,1.0214,1.0608,51.73,1195
1,5,6,1,3,4,0.5692,1.1770,0.7897,0.9834,55.40,1266
1,5,6,1,15,1,0.5031,0.9068,1.2328,1.0698,49.01,1174
1,5,6,2,15,1,0.5206,1.0354,1.0149,1.0252,52.16,1184
1,5,6,3,3,1,0.5738,0.8050,1.1400,0.9725,56.82,1280
1,5,6,5,6,1,0.5809,0.9915,0.9100,0.9507,53.84,1302
1,5,6,6,3,1,0.5720,1.1063,0.9029,1.0046,55.29,1286
1,5,6,6,15,1,0.5200,0.9855,1.1592,1.0724,50.54,1196
1,5,10,1,4,5,0.5323,0.8437,1.1820,1.0129,52.09,1234
1,5,10,1,6,2,0.5348,0.9940,1.0189,1.0065,51.19,1236
1,5,10,1,15,1,0.4728,1.1799,1.0441,1.1120,49.40,1147
1,5,10,1,15,2,0.4768,1.0800,1.0910,1.0855,47.13,1151
1,5,10,2,10,10,0.5163,0.9050,1.1868,1.0459,52.39,1199
1,5,10,3,3,3,0.5495,1.0375,0.9893,1.0134,53.59,1249
1,5,10,3,4,1,0.5631,0.8159,1.1746,0.9953,53.32,1247
1,5,10,4,4,2,0.5656,0.9236,1.0184,0.9710,52.94,1258
1,5,10,4,4,3,0.5568,1.0472,0.9648,1.0060,52.07,1261
1,5,10,4,15,4,0.4974,0.9147,1.2670,1.0908,51.65,1173
1,5,10,5,6,4,0.5753,0.9169,1.0853,1.0011,54.43,1269
1,5,10,5,15,5,0.5003,1.0072,1.1849,1.0960,48.61,1174
1,5,10,6,10,10,0.5235,1.0803,1.0380,1.0591,49.26,1212
1,5,15,1,6,3,0.4715,1.1867,1.0005,1.0936,49.14,1121
1,5,15,2,4,1,0.4636,1.2840,1.0038,1.1439,48.33,1121
1,5,15,3,3,2,0.4723,0.9710,1.2544,1.1127,47.58,1126
1,5,15,3,6,5,0.4599,0.9866,1.2782,1.1324,47.79,1136
1,5,15,3,7,5,0.4662,1.0961,1.1447,1.1204,47.93,1135
1,5,15,6,4,2,0.4614,0.9424,1.2767,1.1095,48.52,1134
1,5,15,8,4,1,0.4631,1.0979,1.1060,1.1019,47.90,1121
1,5,15,8,4,10,0.4410,1.0384,1.2360,1.1372,48.74,1103
1,5,20,1,10,5,0.3542,1.1335,1.4060,1.2698,40.60,975
1,5,20,3,3,3,0.3717,1.2692,1.2090,1.2391,42.49,988
1,5,20,3,4,4,0.3519,1.1445,1.3250,1.2347,42.84,991
1,5,20,3,10,3,0.3555,1.3709,1.1317,1.2513,40.55,984
1,5,20,4,5,10,0.3459,1.1243,1.3786,1.2515,41.13,979
1,5,20,4,6,2,0.3574,1.3910,1.1277,1.2593,42.24,994
1,5,20,4,7,1,0.3614,1.1296,1.3427,1.2361,39.92,991
1,5,20,4,15,2,0.3340,1.4031,1.1493,1.2762,41.95,951
1,5,20,5,3,3,0.3509,1.4229,1.0293,1.2261,39.52,991
1,5,20,5,6,2,0.3635,1.2777,1.2323,1.2550,39.75,994
1,5,20,6,7,4,0.3524,1.2728,1.2214,1.2471,43.59,995
1,5,20,8,3,2,0.3497,1.0922,1.4570,1.2746,39.97,982
1,5,20,8,4,1,0.3567,1.2746,1.2590,1.2668,42.29,983
1,5,20,8,7,10,0.3369,1.0604,1.4300,1.2452,42.65,973
1,5,20,8,10,2,0.3504,1.2391,1.2939,1.2665,42.51,979
1,10,3,1,3,5,0.5268,0.9386,1.1094,1.0240,54.33,1208
1,10,3,1,6,4,0.5316,1.0846,1.0001,1.0423,53.01,1219
1,10,3,1,7,10,0.5077,1.1971,0.9666,1.0818,50.47,1186
1,10,3,2,5,10,0.5092,1.1242,0.9898,1.0570,53.20,1197
1,10,3,2,6,4,0.5308,1.1934,0.8753,1.0343,50.56,1230
1,10,3,2,15,3,0.4679,0.9453,1.2911,1.1182,45.83,1146
1,10,3,3,10,5,0.5371,1.1198,0.8917,1.0057,51.70,1219
1,10,4,1,5,3,0.5368,1.1309,0.9369,1.0339,52.74,1227
1,10,4,1,10,2,0.5132,1.1627,0.9985,1.0806,48.92,1207
1,10,4,2,10,5,0.5433,0.9851,1.1004,1.0427,52.48,1221
1,10,4,3,7,2,0.5545,0.8735,1.0993,0.9864,51.81,1245
1,10,4,4,3,3,0.5512,1.0276,1.0276,1.0276,52.70,1243
1,10,4,4,3,4,0.5399,1.1564,0.8957,1.0260,52.39,1244
1,10,4,4,5,1,0.5545,1.2172,0.8218,1.0195,51.92,1245
1,10,4,4,10,5,0.5596,0.9743,1.0595,1.0169,56.01,1235
1,10,5,1,3,2,0.5482,1.0268,1.0181,1.0225,51.28,1221
1,10,5,1,3,4,0.5518,1.1555,0.8630,1.0093,53.05,1225
1,10,5,1,4,3,0.5582,0.9099,1.0833,0.9966,53.83,1230
1,10,5,2,3,1,0.5456,1.0074,0.9929,1.0002,53.74,1228
1,10,5,2,3,10,0.5336,1.1208,0.9450,1.0329,51.83,1204
1,10,5,2,4,4,0.5594,1.0916,0.9123,1.0020,51.80,1243
1,10,5,2,6,10,0.5360,1.0990,0.9574,1.0282,54.06,1214
1,10,5,3,3,5,0.5580,0.8062,1.1972,1.0017,52.43,1245
1,10,5,3,4,3,0.5523,1.1295,0.9300,1.0297,54.02,1251
1,10,5,3,4,10,0.5367,0.9996,1.0784,1.0390,52.27,1217
1,10,5,3,5,1,0.5537,0.9628,1.0295,0.9962,53.49,1247
1,10,5,4,3,2,0.5570,0.9644,1.0177,0.9910,52.80,1247
1,10,5,4,5,2,0.5641,0.8861,1.0933,0.9897,56.50,1258
1,10,5,4,5,5,0.5697,0.9828,0.9920,0.9874,56.21,1261
1,10,5,4,7,2,0.5695,0.9990,1.0027,1.0009,54.08,1258
1,10,5,4,10,4,0.5529,0.9728,1.0101,0.9915,52.87,1242
1,10,5,5,5,4,0.5681,0.9155,1.0523,0.9839,53.86,1264
1,10,5,5,6,5,0.5703,1.0463,0.8733,0.9598,54.75,1264
1,10,6,1,10,1,0.5247,1.0245,1.1107,1.0676,51.25,1211
1,10,6,2,6,10,0.5350,1.1538,0.8831,1.0184,51.95,1216
1,10,6,2,7,10,0.5210,1.1457,0.9805,1.0631,50.17,1214
1,10,6,2,10,2,0.5323,1.1766,0.9279,1.0523,50.23,1227
1,10,6,3,4,1,0.5547,0.8300,1.1322,0.9811,51.38,1245
1,10,6,3,4,3,0.5694,1.0535,0.8869,0.9702,52.73,1254
1,10,6,3,6,1,0.5614,0.9523,1.0716,1.0119,53.34,1251
1,10,6,3,15,1,0.4919,0.9298,1.2571,1.0935,48.94,1161
1,10,6,4,4,2,0.5661,1.1108,0.8481,0.9795,54.06,1256
1,10,6,4,10,10,0.5236,1.0359,1.0928,1.0644,51.41,1210
1,10,6,5,4,4,0.5745,0.8620,1.0476,0.9548,55.75,1262
1,10,6,5,7,10,0.5387,1.0526,1.0351,1.0438,50.27,1229
1,10,6,6,4,1,0.5605,1.0961,0.9184,1.0072,55.96,1251
1,10,10,1,4,2,0.5101,0.9721,1.1660,1.0690,50.41,1197
1,10,10,1,4,3,0.5345,1.0652,1.0049,1.0350,50.23,1199
1,10,10,1,6,10,0.5013,1.2481,0.8979,1.0730,49.29,1175
1,10,10,1,15,10,0.4439,1.2867,1.0439,1.1653,44.67,1104
1,10,10,2,4,4,0.5301,1.1757,0.8905,1.0331,53.83,1211
1,10,10,3,6,5,0.5431,0.8597,1.1325,0.9961,54.68,1223
1,10,10,4,3,5,0.5372,1.0814,1.0183,1.0498,53.48,1217
1,10,10,4,5,1,0.5309,1.0925,1.0185,1.0555,54.33,1219
1,10,10,4,5,10,0.5265,1.1693,0.9352,1.0522,50.37,1195
1,10,10,4,6,1,0.5201,1.0345,1.0876,1.0610,51.41,1220
1,10,10,5,5,1,0.5363,0.8632,1.1473,1.0052,51.71,1221
1,10,10,5,10,1,0.5120,1.0785,1.0267,1.0526,50.79,1204
1,10,10,6,3,3,0.5264,1.1031,0.9664,1.0347,49.65,1217
1,10,10,6,15,5,0.4760,1.2387,0.9635,1.1011,48.59,1145
1,10,15,1,5,3,0.4465,1.2019,1.0441,1.1230,48.13,1097
1,10,15,2,3,10,0.4420,1.0350,1.2785,1.1568,44.42,1077
1,10,15,2,5,5,0.4649,1.0914,1.1615,1.1264,48.49,1104
1,10,15,2,6,5,0.4495,0.9280,1.3218,1.1249,47.11,1105
1,10,15,3,3,3,0.4589,1.0376,1.1678,1.1027,47.40,1103
1,10,15,4,5,2,0.4507,1.2542,1.0444,1.1493,46.46,1111
1,10,15,4,5,5,0.4473,1.1447,1.1485,1.1466,47.02,1113
1,10,15,4,15,10,0.3938,1.0356,1.3568,1.1962,43.12,1036
1,10,15,5,3,2,0.4524,1.0376,1.2379,1.1378,45.30,1106
1,10,15,5,5,10,0.4314,1.0737,1.2614,1.1675,47.29,1092
1,10,15,5,10,5,0.4473,1.1245,1.1088,1.1166,46.77,1102
1,10,15,5,10,10,0.4150,1.2448,1.0791,1.1620,44.89,1081
1,10,15,6,4,1,0.4428,1.1911,1.0980,1.1446,44.70,1106
1,10,15,6,5,3,0.4501,1.0199,1.2235,1.1217,47.24,1113
1,10,15,6,7,5,0.4396,1.1295,1.2144,1.1720,47.28,1113
1,10,15,6,10,4,0.4424,1.1083,1.1833,1.1458,45.00,1102
1,10,15,8,4,5,0.4324,0.9856,1.3541,1.1699,43.81,1102
1,10,15,8,5,5,0.4486,1.2847,0.9575,1.1211,48.02,1104
1,10,15,8,15,3,0.4038,1.0450,1.3827,1.2138,45.92,1047
1,10,15,8,15,10,0.4001,1.2876,1.1532,1.2204,43.56,1029
1,10,20,1,5,4,0.3571,1.3822,1.0799,1.2311,42.01,967
1,10,20,1,6,5,0.3408,1.4113,1.0812,1.2463,40.40,967
1,10,20,1,7,4,0.3423,1.0927,1.4182,1.2555,38.46,967
1,10,20,3,4,1,0.3438,1.2882,1.1961,1.2421,41.08,971
1,10,20,3,10,4,0.3577,1.2780,1.1703,1.2242,42.76,968
1,10,20,4,15,4,0.3318,1.2621,1.2628,1.2625,39.03,938
1,10,20,5,15,10,0.3126,1.3783,1.1731,1.2757,37.97,925
1,10,20,6,3,2,0.3633,1.3352,1.1047,1.2199,39.73,972
1,10,20,6,6,5,0.3463,1.4559,1.0941,1.2750,40.24,978
1,10,20,8,4,1,0.3340,1.2783,1.2624,1.2703,38.73,967
1,10,20,8,10,1,0.3393,1.2178,1.2741,1.2460,40.39,961
1,20,3,2,4,5,0.3895,1.1082,1.3447,1.2264,42.83,1025
1,20,3,2,6,4,0.4053,1.2140,1.1896,1.2018,46.36,1028
1,20,3,3,3,2,0.3815,1.3572,1.0483,1.2028,40.57,1025
1,20,3,3,3,5,0.3807,1.0054,1.3824,1.1939,42.68,1027
1,20,3,3,10,1,0.3679,1.1149,1.3811,1.2480,43.75,1018
1,20,4,1,3,4,0.3883,1.2539,1.1697,1.2118,44.64,1022
1,20,4,1,4,4,0.3980,1.3963,1.0085,1.2024,46.32,1025
1,20,4,1,5,5,0.3883,1.1341,1.3244,1.2293,45.88,1027
1,20,4,1,6,5,0.3886,1.0356,1.4066,1.2211,44.51,1027
1,20,4,2,10,5,0.3849,1.4163,1.0216,1.2190,42.94,1023
1,20,4,2,10,10,0.3640,1.3429,1.0838,1.2133,41.33,1007
1,20,4,3,5,10,0.3752,1.2013,1.2027,1.2020,44.38,1020
1,20,4,3,6,1,0.3951,1.0416,1.3274,1.1845,42.91,1034
1,20,4,3,15,1,0.3625,1.3239,1.1078,1.2158,43.71,986
1,20,4,4,3,1,0.4015,1.0502,1.3783,1.2143,45.71,1031
1,20,4,4,10,5,0.3877,1.4064,1.0070,1.2067,45.73,1030
1,20,5,1,10,5,0.3906,1.3096,1.0807,1.1952,44.72,1021
1,20,5,4,10,3,0.3983,1.0991,1.2728,1.1859,44.19,1034
1,20,5,4,15,5,0.3671,1.4444,1.0629,1.2536,40.76,995
1,20,5,5,4,3,0.3984,1.2529,1.1931,1.2230,41.63,1042
1,20,6,1,3,1,0.3792,1.1499,1.3028,1.2264,40.95,1022
1,20,6,1,4,3,0.3975,1.3642,0.9850,1.1746,45.06,1029
1,20,6,1,7,1,0.3872,1.0962,1.2763,1.1863,44.02,1027
1,20,6,2,3,3,0.3952,1.1404,1.2412,1.1908,42.58,1032
1,20,6,2,4,1,0.3880,1.0012,1.3880,1.1946,42.75,1031
1,20,6,2,10,10,0.3902,1.1523,1.2724,1.2124,41.98,1011
1,20,6,3,3,5,0.3950,1.1572,1.2164,1.1868,45.86,1037
1,20,6,3,15,1,0.3648,1.2424,1.2204,1.2314,41.93,990
1,20,6,3,15,2,0.3710,1.0644,1.4354,1.2499,43.91,992
1,20,6,4,3,1,0.3918,1.0158,1.4091,1.2125,44.30,1035
1,20,6,4,4,1,0.3956,1.4043,1.0154,1.2099,45.07,1039
1,20,6,4,5,2,0.4085,1.1583,1.1704,1.1643,42.14,1043
1,20,6,4,15,3,0.3621,1.3087,1.1198,1.2142,43.41,996
1,20,6,5,6,3,0.3968,1.0447,1.3352,1.1900,45.24,1046
1,20,6,6,4,2,0.3990,1.0023,1.3441,1.1732,45.58,1041
1,20,10,2,4,4,0.3782,1.2052,1.2469,1.2260,44.69,1018
1,20,10,3,5,5,0.3890,1.4030,1.0376,1.2203,45.41,1024
1,20,10,3,6,5,0.3973,1.1689,1.2026,1.1857,41.85,1024
1,20,10,3,7,4,0.3983,1.1673,1.1890,1.1782,42.50,1024
1,20,10,4,3,1,0.3965,1.0424,1.3859,1.2141,46.01,1018
1,20,10,4,3,10,0.3689,1.0614,1.3727,1.2171,41.59,1005
1,20,10,5,4,2,0.3868,1.3496,1.1042,1.2269,42.17,1024
1,20,10,5,10,1,0.3892,1.1588,1.2487,1.2038,45.43,1014
1,20,10,6,6,10,0.3833,1.0313,1.3846,1.2080,45.29,1010
1,20,10,6,10,10,0.3584,1.4375,1.0556,1.2466,40.59,1001
1,20,10,8,6,10,0.3730,1.3292,1.0899,1.2096,43.51,1003
1,20,10,8,10,3,0.3681,1.3100,1.1694,1.2397,42.34,1010
1,20,15,2,3,3,0.3308,1.4247,1.1592,1.2920,41.88,951
1,20,15,2,5,10,0.3300,1.1617,1.3683,1.2650,38.02,941
