u,e,k,min,threshold,value,Topic Recall,Total Entropy
1,5,10,1,4,5,0.4321,0.9002
1,5,10,1,6,2,0.4309,0.9224
1,5,10,1,15,1,0.3848,0.9109
1,5,10,1,15,2,0.3869,0.9083
1,5,10,2,10,10,0.4272,0.9649
1,5,10,3,3,3,0.4469,0.9293
1,5,10,3,4,1,0.4564,0.9360
1,5,10,4,4,2,0.4597,0.9506
1,5,10,4,4,3,0.4542,0.9727
1,5,10,4,15,4,0.4125,1.0056
1,5,10,5,6,4,0.4753,1.0462
1,5,10,5,15,5,0.4168,1.0248
1,5,10,6,10,10,0.4412,1.0385
1,5,15,1,6,3,0.4920,0.9889
1,5,15,2,4,1,0.4836,0.9795
1,5,15,3,3,2,0.4976,0.9749
1,5,15,3,6,5,0.4930,1.0720
1,5,15,3,7,5,0.4993,1.0879
1,5,15,6,4,2,0.4975,1.0345
1,5,15,8,4,1,0.4983,1.0107
1,5,15,8,4,10,0.4823,0.9982
1,5,20,1,10,5,0.4392,0.9968
1,5,20,3,3,3,0.4670,0.9346
1,5,20,3,4,4,0.4488,0.9494
1,5,20,3,10,3,0.4486,1.0341
1,5,20,4,5,10,0.4448,0.9553
1,5,20,4,6,2,0.4570,1.0137
1,5,20,4,7,1,0.4562,1.0054
1,5,20,4,15,2,0.4082,0.9894
1,5,20,5,3,3,0.4510,0.9393
1,5,20,5,6,2,0.4641,1.0273
1,5,20,6,7,4,0.4584,1.0540
1,5,20,8,3,2,0.4502,0.9572
1,5,20,8,4,1,0.4576,0.9723
1,5,20,8,7,10,0.4393,0.9902
1,5,20,8,10,2,0.4469,1.0640
1,10,3,1,3,5,0.3474,0.5986
1,10,3,1,6,4,0.3432,0.6463
1,10,3,1,7,10,0.3346,0.6387
1,10,3,2,5,10,0.3376,0.6213
1,10,3,2,6,4,0.3431,0.6544
1,10,3,2,15,3,0.3100,0.6444
1,10,3,3,10,5,0.3531,0.6722
1,10,4,1,5,3,0.3578,0.6733
1,10,4,1,10,2,0.3450,0.7071
1,10,4,2,10,5,0.3713,0.7322
1,10,4,3,7,2,0.3747,0.6996
1,10,4,4,3,3,0.3689,0.6871
1,10,4,4,3,4,0.3632,0.6799
1,10,4,4,5,1,0.3728,0.7018
1,10,4,4,10,5,0.3833,0.7516
1,10,5,1,3,2,0.3846,0.6817
1,10,5,1,3,4,0.3892,0.6839
1,10,5,1,4,3,0.3933,0.6940
1,10,5,2,3,1,0.3827,0.6743
1,10,5,2,3,10,0.3839,0.6761
1,10,5,2,4,4,0.3913,0.7166
1,10,5,2,6,10,0.3868,0.7146
1,10,5,3,3,5,0.3919,0.7125
1,10,5,3,4,3,0.3851,0.7370
1,10,5,3,4,10,0.3841,0.7093
1,10,5,3,5,1,0.3887,0.7198
1,10,5,4,3,2,0.3908,0.7051
1,10,5,4,5,2,0.3947,0.7409
1,10,5,4,5,5,0.4033,0.7537
1,10,5,4,7,2,0.3991,0.7735
1,10,5,4,10,4,0.3934,0.7762
1,10,5,5,5,4,0.4023,0.7551
1,10,5,5,6,5,0.4038,0.7561
1,10,6,1,10,1,0.3851,0.7821
1,10,6,2,6,10,0.4022,0.7467
1,10,6,2,7,10,0.3897,0.7720
1,10,6,2,10,2,0.3895,0.8052
1,10,6,3,4,1,0.4031,0.7363
1,10,6,3,4,3,0.4159,0.7548
1,10,6,3,6,1,0.4114,0.7878
1,10,6,3,15,1,0.3656,0.7697
1,10,6,4,4,2,0.4131,0.7623
1,10,6,4,10,10,0.3946,0.8127
1,10,6,5,4,4,0.4225,0.7698
1,10,6,5,7,10,0.4054,0.8057
1,10,6,6,4,1,0.4110,0.7752
1,10,10,1,4,2,0.4541,0.8524
1,10,10,1,4,3,0.4785,0.8576
1,10,10,1,6,10,0.4542,0.8598
1,10,10,1,15,10,0.4005,0.8579
1,10,10,2,4,4,0.4769,0.8797
1,10,10,3,6,5,0.4938,0.9258
1,10,10,4,3,5,0.4905,0.9064
1,10,10,4,5,1,0.4787,0.9254
1,10,10,4,5,10,0.4864,0.9067
1,10,10,4,6,1,0.4696,0.9374
1,10,10,5,5,1,0.4861,0.9092
1,10,10,5,10,1,0.4636,0.9688
1,10,10,6,3,3,0.4825,0.8963
1,10,10,6,15,5,0.4345,0.9504
1,10,15,1,5,3,0.5132,0.9081
1,10,15,2,3,10,0.5120,0.8756
1,10,15,2,5,5,0.5435,0.9571
1,10,15,2,6,5,0.5277,0.9637
1,10,15,3,3,3,0.5361,0.9061
1,10,15,4,5,2,0.5348,0.9860
1,10,15,4,5,5,0.5376,0.9979
1,10,15,4,15,10,0.4487,0.9470
1,10,15,5,3,2,0.5365,0.9411
1,10,15,5,5,10,0.5189,0.9673
1,10,15,5,10,5,0.5343,1.0548
1,10,15,5,10,10,0.4938,1.0088
1,10,15,6,4,1,0.5260,0.9590
1,10,15,6,5,3,0.5453,0.9969
1,10,15,6,7,5,0.5377,1.0669
1,10,15,6,10,4,0.5304,1.0749
1,10,15,8,4,5,0.5276,0.9883
1,10,15,8,5,5,0.5459,0.9964
1,10,15,8,15,3,0.4620,1.0128
1,10,15,8,15,10,0.4600,0.9760
1,10,20,1,5,4,0.4808,0.8700
1,10,20,1,6,5,0.4637,0.8859
1,10,20,1,7,4,0.4647,0.9034
1,10,20,3,4,1,0.4690,0.8700
1,10,20,3,10,4,0.4881,0.9591
1,10,20,4,15,4,0.4403,0.9316
1,10,20,5,15,10,0.4194,0.9009
1,10,20,6,3,2,0.5016,0.8827
1,10,20,6,6,5,0.4942,0.9838
1,10,20,8,4,1,0.4685,0.9006
1,10,20,8,10,1,0.4683,0.9615
1,20,3,2,4,5,0.3061,0.4484
1,20,3,2,6,4,0.3211,0.4570
1,20,3,3,3,2,0.3000,0.4217
1,20,3,3,3,5,0.3009,0.4204
1,20,3,3,10,1,0.3000,0.4684
1,20,4,1,3,4,0.3177,0.4459
1,20,4,1,4,4,0.3249,0.4554
1,20,4,1,5,5,0.3174,0.4730
1,20,4,1,6,5,0.3155,0.4745
1,20,4,2,10,5,0.3133,0.4909
1,20,4,2,10,10,0.3000,0.4591
1,20,4,3,5,10,0.3102,0.4486
1,20,4,3,6,1,0.3210,0.4628
1,20,4,3,15,1,0.3000,0.4535
1,20,4,4,3,1,0.3287,0.4664
1,20,4,4,10,5,0.3195,0.4971
1,20,5,1,10,5,0.3315,0.4962
1,20,5,4,10,3,0.3403,0.5154
1,20,5,4,15,5,0.3141,0.5177
1,20,5,5,4,3,0.3386,0.5120
1,20,6,1,3,1,0.3308,0.4830
1,20,6,1,4,3,0.3480,0.4810
1,20,6,1,7,1,0.3383,0.4944
1,20,6,2,3,3,0.3478,0.4885
1,20,6,2,4,1,0.3399,0.4884
1,20,6,2,10,10,0.3480,0.5232
1,20,6,3,3,5,0.3485,0.4954
1,20,6,3,15,1,0.3211,0.5109
1,20,6,3,15,2,0.3257,0.5306
1,20,6,4,3,1,0.3449,0.5037
1,20,6,4,4,1,0.3471,0.5149
1,20,6,4,5,2,0.3615,0.5098
1,20,6,4,15,3,0.3192,0.5119
1,20,6,5,6,3,0.3514,0.5310
1,20,6,6,4,2,0.3535,0.5032
1,20,10,2,4,4,0.3919,0.5798
1,20,10,3,5,5,0.4062,0.6041
1,20,10,3,6,5,0.4145,0.5979
1,20,10,3,7,4,0.4146,0.6003
1,20,10,4,3,1,0.4105,0.5768
1,20,10,4,3,10,0.3883,0.5535
1,20,10,5,4,2,0.4044,0.5993
1,20,10,5,10,1,0.4041,0.6177
1,20,10,6,6,10,0.4070,0.5938
1,20,10,6,10,10,0.3800,0.6168
1,20,10,8,6,10,0.3982,0.5817
1,20,10,8,10,3,0.3887,0.6303
1,20,15,2,3,3,0.4147,0.5942
1,20,15,2,5,10,0.4162,0.5845
1,20,15,2,15,3,0.3708,0.6014
1,20,15,3,15,3,0.3818,0.6009
1,20,15,3,15,10,0.3773,0.5989
1,20,15,4,3,1,0.4294,0.5867
1,20,15,4,3,2,0.4336,0.5955
1,20,15,6,6,5,0.4329,0.6416
1,20,15,6,10,2,0.4285,0.6502
1,20,15,6,15,1,0.3824,0.6302
1,20,15,8,3,3,0.4143,0.6042
1,20,20,2,6,4,0.3996,0.5874
1,20,20,3,7,2,0.4167,0.6018
1,20,20,3,7,4,0.3999,0.6030
1,20,20,4,7,3,0.4043,0.6131
1,20,20,4,15,1,0.3537,0.5831
1,20,20,8,7,4,0.4153,0.6165
1,20,20,8,10,1,0.3951,0.6109
2,2,3,1,4,1,0.3279,0.6476
2,2,3,1,6,2,0.3244,0.6776
2,2,3,1,15,4,0.3061,0.6562
2,2,3,2,4,5,0.3374,0.6536
2,2,3,2,7,1,0.3330,0.6830
2,2,3,2,7,2,0.3267,0.6951
2,2,3,2,10,10,0.3313,0.6720
2,2,3,2,15,3,0.3156,0.6859
2,2,3,3,15,5,0.3014,0.7013
2,2,4,1,4,5,0.3664,0.7075
2,2,4,1,6,2,0.3585,0.7124
2,2,4,1,6,10,0.3458,0.7015
2,2,4,1,10,2,0.3442,0.7278
2,2,4,3,4,2,0.3668,0.7235
2,2,4,4,3,1,0.3567,0.6837
2,2,4,4,4,4,0.3688,0.7258
2,2,4,4,6,2,0.3597,0.7322
2,2,4,4,15,3,0.3308,0.7495
2,2,5,1,3,3,0.3637,0.7161
2,2,5,1,10,5,0.3762,0.7928
2,2,5,1,15,4,0.3223,0.7498
2,2,5,2,4,5,0.3775,0.7650
2,2,5,2,4,10,0.3692,0.7220
2,2,5,2,7,4,0.3697,0.7846
2,2,5,3,5,1,0.3710,0.7551
2,2,5,3,7,5,0.3846,0.8097
2,2,5,4,5,1,0.3872,0.7794
2,2,5,4,10,1,0.3690,0.8081
2,2,6,1,3,10,0.3704,0.7430
2,2,6,1,4,2,0.3950,0.7506
2,2,6,1,7,1,0.3820,0.7899
2,2,6,3,3,1,0.3747,0.7591
2,2,6,3,5,2,0.3902,0.8113
2,2,6,3,10,2,0.3831,0.8624
2,2,6,4,10,1,0.3845,0.8462
2,2,6,4,10,2,0.3965,0.8633
2,2,6,4,10,4,0.3977,0.8884
2,2,6,4,15,10,0.3535,0.7938
2,2,6,5,10,1,0.3923,0.8694
2,2,6,5,10,10,0.3882,0.8459
2,2,6,5,15,3,0.3482,0.8460
2,2,6,6,4,5,0.4081,0.8241
2,2,6,6,5,5,0.3913,0.8475
2,2,6,6,10,5,0.3915,0.8904
2,2,6,6,15,2,0.3547,0.8482
2,2,10,1,4,1,0.4377,0.8850
2,2,10,1,4,5,0.4427,0.9155
2,2,10,1,10,1,0.4176,0.9658
2,2,10,1,10,3,0.4401,0.9808
2,2,10,2,4,1,0.4437,0.9093
2,2,10,2,7,10,0.4466,0.9498
2,2,10,2,10,1,0.4273,0.9716
2,2,10,3,7,2,0.4502,0.9956
2,2,10,4,5,3,0.4630,1.0040
2,2,10,4,7,10,0.4412,0.9873
2,2,10,4,15,5,0.4185,1.0093
2,2,10,5,10,2,0.4625,1.0578
2,2,10,5,15,1,0.4215,0.9942
2,2,10,5,15,10,0.3910,0.9672
2,2,10,6,3,4,0.4657,0.9764
2,2,10,8,4,4,0.4581,0.9909
2,2,10,8,5,3,0.4613,0.9980
2,2,10,8,6,1,0.4454,1.0113
2,2,10,8,7,2,0.4453,1.0196
2,2,10,8,7,10,0.4391,0.9870
2,2,10,8,15,10,0.4078,0.9597
2,2,15,1,6,10,0.4658,0.9503
2,2,15,1,7,10,0.4571,0.9849
2,2,15,1,10,2,0.4530,1.0176
2,2,15,3,7,10,0.4767,1.0281
2,2,15,4,4,2,0.4799,1.0135
2,2,15,4,5,5,0.4881,1.0532
2,2,15,5,4,10,0.4700,1.0101
2,2,15,5,10,2,0.4845,1.1442
2,2,15,5,15,2,0.4315,1.0538
2,2,15,6,3,2,0.4878,1.0220
2,2,15,6,4,2,0.4967,1.0462
2,2,15,6,6,3,0.5046,1.1083
2,2,15,8,5,2,0.5019,1.0696
2,2,15,8,7,3,0.4987,1.1224
2,2,20,1,3,3,0.4429,0.8720
2,2,20,1,4,4,0.4363,0.9104
2,2,20,1,10,1,0.4407,0.9577
2,2,20,2,3,4,0.4581,0.9002
2,2,20,2,5,5,0.4660,0.9613
2,2,20,2,6,2,0.4359,0.9646
2,2,20,3,7,1,0.4638,0.9910
2,2,20,5,5,2,0.4479,0.9904
2,2,20,5,5,4,0.4693,0.9998
2,2,20,5,10,1,0.4540,1.0301
2,2,20,5,15,4,0.4144,1.0172
2,2,20,6,15,10,0.3888,0.9586
2,2,20,8,3,2,0.4525,0.9474
2,2,20,8,4,3,0.4477,0.9792
2,2,20,8,4,4,0.4668,0.9975
2,3,3,2,15,1,0.3117,0.6629
2,3,3,2,15,10,0.3000,0.6527
2,3,4,1,4,3,0.3487,0.6912
2,3,4,1,5,1,0.3598,0.7028
2,3,4,1,6,2,0.3587,0.7022
2,3,4,1,10,10,0.3419,0.7294
2,3,4,2,6,3,0.3573,0.7382
2,3,4,3,5,5,0.3751,0.7421
2,3,4,4,3,4,0.3637,0.7074
2,3,4,4,5,2,0.3684,0.7352
2,3,4,4,6,3,0.3796,0.7572
2,3,5,1,3,3,0.3725,0.7243
2,3,5,1,3,5,0.3740,0.7120
2,3,5,1,5,10,0.3834,0.7299
2,3,5,1,10,1,0.3632,0.7754
2,3,5,1,15,2,0.3528,0.7421
2,3,5,2,15,2,0.3477,0.7507
2,3,5,3,5,4,0.3790,0.7963
2,3,5,3,10,4,0.3794,0.8119
2,3,5,5,15,3,0.3542,0.8136
2,3,6,1,6,2,0.3828,0.7918
2,3,6,2,3,10,0.4004,0.7585
2,3,6,2,5,3,0.3999,0.8247
2,3,6,2,5,4,0.3945,0.8295
2,3,6,2,5,5,0.4013,0.8061
2,3,6,2,6,1,0.4070,0.8072
2,3,6,3,5,1,0.3921,0.8046
2,3,6,3,5,3,0.3978,0.8294
2,3,6,3,5,10,0.4079,0.8049
2,3,6,3,6,4,0.4036,0.8560
2,3,6,4,4,1,0.4105,0.7959
2,3,6,4,6,3,0.4038,0.8608
2,3,6,4,6,4,0.4111,0.8642
2,3,6,4,7,1,0.3951,0.8404
2,3,6,4,15,5,0.3676,0.8533
2,3,6,5,7,3,0.3972,0.8628
2,3,6,5,7,4,0.4236,0.8837
2,3,6,5,7,5,0.4092,0.8897
2,3,6,6,3,10,0.3982,0.7934
2,3,6,6,7,10,0.4105,0.8488
2,3,6,6,10,5,0.4066,0.8968
2,3,6,6,15,1,0.3692,0.8270
2,3,10,1,6,5,0.4475,0.9502
2,3,10,2,7,1,0.4504,0.9692
2,3,10,2,15,4,0.4025,0.9794
2,3,10,3,5,10,0.4400,0.9552
2,3,10,3,10,4,0.4592,1.0486
2,3,10,4,6,1,0.4629,1.0043
2,3,10,4,7,5,0.4759,1.0537
2,3,10,5,10,3,0.4706,1.0882
2,3,10,6,15,3,0.4351,1.0275
2,3,10,8,7,3,0.4726,1.0704
2,3,10,8,15,1,0.4147,1.0021
2,3,15,1,3,4,0.4671,0.9546
2,3,15,1,5,2,0.5013,0.9749
2,3,15,1,15,10,0.4336,0.9472
2,3,15,2,15,3,0.4456,1.0266
2,3,15,3,3,3,0.4861,0.9952
2,3,15,4,4,10,0.4994,1.0069
2,3,15,4,10,5,0.5046,1.1634
2,3,15,5,6,2,0.5112,1.1125
2,3,15,5,7,3,0.5325,1.1280
2,3,15,6,3,1,0.5024,1.0107
2,3,15,6,6,10,0.5066,1.0712
2,3,15,8,3,1,0.4909,1.0111
2,3,15,8,5,1,0.5021,1.0830
2,3,15,8,10,5,0.5100,1.1961
2,3,20,1,3,10,0.4290,0.8491
2,3,20,1,6,3,0.4653,0.9476
2,3,20,1,6,4,0.4540,0.9702
2,3,20,2,3,4,0.4557,0.9229
2,3,20,2,6,4,0.4627,0.9897
2,3,20,2,10,1,0.4437,1.0013
2,3,20,2,15,2,0.4043,0.9574
2,3,20,2,15,5,0.4063,0.9822
2,3,20,2,15,10,0.4000,0.9363
2,3,20,3,4,2,0.4570,0.9531
2,3,20,4,3,10,0.4568,0.9106
2,3,20,4,5,10,0.4471,0.9705
2,3,20,5,4,10,0.4758,0.9642
2,3,20,5,5,1,0.4602,0.9823
2,3,20,5,6,1,0.4641,1.0189
2,3,20,6,3,4,0.4685,0.9732
2,3,20,6,5,4,0.4771,1.0297
2,3,20,8,3,1,0.4533,0.9378
2,3,20,8,4,1,0.4513,0.9825
2,3,20,8,5,1,0.4737,0.9814
2,3,20,8,6,2,0.4622,1.0436
2,5,3,1,4,10,0.3468,0.6304
2,5,3,1,6,3,0.3574,0.6709
2,5,3,2,6,2,0.3693,0.6930
2,5,3,2,7,3,0.3615,0.6931
2,5,3,2,15,4,0.3297,0.6749
2,5,3,3,3,5,0.3624,0.6769
2,5,3,3,5,10,0.3495,0.6665
2,5,3,3,15,1,0.3336,0.6725
2,5,4,1,3,4,0.3658,0.6935
2,5,4,1,5,5,0.3762,0.7183
2,5,4,1,6,1,0.3740,0.7263
2,5,4,1,10,1,0.3524,0.7202
2,5,4,1,10,10,0.3671,0.7368
2,5,4,1,15,3,0.3521,0.7049
2,5,4,2,4,1,0.3617,0.6968
2,5,4,2,6,5,0.3864,0.7398
2,5,4,2,7,2,0.3699,0.7396
2,5,4,3,3,3,0.3822,0.7147
2,5,4,3,5,4,0.3820,0.7380
2,5,4,3,6,1,0.3718,0.7504
2,5,4,3,10,2,0.3613,0.7844
2,5,4,3,15,1,0.3522,0.7455
2,5,4,4,10,1,0.3828,0.7733
2,5,4,4,15,3,0.3628,0.7585
2,5,4,4,15,10,0.3396,0.7440
2,5,5,1,4,10,0.3806,0.7163
2,5,5,1,7,5,0.3966,0.7954
2,5,5,1,10,5,0.3870,0.7846
2,5,5,2,3,5,0.3984,0.7604
2,5,5,2,7,4,0.3890,0.7922
2,5,5,4,4,2,0.4008,0.7732
2,5,5,4,4,5,0.4056,0.8029
2,5,5,4,15,10,0.3521,0.7808
2,5,5,5,4,1,0.3943,0.7810
2,5,5,5,4,3,0.3991,0.7871
2,5,5,5,4,10,0.4029,0.7709
2,5,5,5,7,10,0.3984,0.8047
2,5,6,1,5,2,0.4190,0.7922
2,5,6,1,10,2,0.3873,0.8476
2,5,6,2,6,1,0.4103,0.8279
2,5,6,2,10,3,0.4141,0.8483
2,5,6,4,3,10,0.4058,0.7991
2,5,6,5,5,3,0.4294,0.8661
2,5,6,5,7,5,0.4364,0.8910
2,5,6,5,15,5,0.3717,0.8670
2,5,6,6,3,10,0.4175,0.8057
2,5,6,6,15,3,0.3859,0.8507
2,5,10,1,10,2,0.4676,0.9856
2,5,10,1,15,5,0.4183,0.9614
2,5,10,2,4,1,0.4695,0.9323
2,5,10,3,15,1,0.4274,0.9855
2,5,10,4,4,10,0.4748,0.9599
2,5,10,4,10,10,0.4720,1.0412
2,5,10,5,4,5,0.4900,1.0232
2,5,10,5,5,2,0.5018,1.0328
2,5,10,5,10,5,0.4825,1.1160
2,5,10,5,15,10,0.4330,0.9768
2,5,10,6,7,3,0.5158,1.0830
2,5,10,8,4,4,0.4942,0.9959
2,5,10,8,5,3,0.4977,1.0273
2,5,10,8,10,2,0.4802,1.0946
2,5,15,1,3,10,0.4927,0.9066
2,5,15,1,10,2,0.5066,1.0516
2,5,15,2,4,10,0.5134,0.9629
2,5,15,2,6,2,0.5222,1.0562
2,5,15,2,7,4,0.5300,1.0754
2,5,15,3,3,1,0.5143,0.9815
2,5,15,3,3,3,0.5234,1.0096
2,5,15,4,4,1,0.5319,1.0374
2,5,15,4,15,3,0.4718,1.1017
2,5,15,5,3,3,0.5316,1.0474
2,5,15,5,5,3,0.5518,1.0964
2,5,15,5,7,5,0.5502,1.1566
2,5,15,6,6,2,0.5482,1.1410
2,5,15,6,15,1,0.4593,1.0909
2,5,15,8,6,2,0.5580,1.1226
2,5,15,8,7,10,0.5182,1.1215
